Time0,Longitude0,Latitude0,Magnitude0,Time1,Longitude1,Latitude1,Magnitude1,Time2,Longitude2,Latitude2,Magnitude2,Time3,Longitude3,Latitude3,Magnitude3,Time4,Longitude4,Latitude4,Magnitude4,Time5
1633095204.0,128.6032,26.767,4.5,1633100563.0,139.8212,27.7448,4.1,1633147297.0,142.1025,38.4927,4.8,1633191435.0,142.6438,29.3753,4.4,1633219384.0,143.4348,23.4423,4.6,1633224855.0
1633227058.0,137.1153,37.4618,4.4,1633248678.0,141.346,32.3267,4.6,1633250978.0,141.6211,34.355,4.6,1633267396.0,120.0263,20.6386,4.7,1633277992.0,141.564,25.3265,4.2,1633327671.0
1633381592.0,142.0234,38.1597,4.5,1633426370.0,144.297,39.2062,4.1,1633427579.0,147.8149,44.4836,4.3,1633443721.0,143.9091,40.3277,4.4,1633455027.0,125.0222,25.7174,5.4,1633455962.0
1633457022.0,125.0749,25.6166,5.1,1633459339.0,125.1949,25.7616,4.2,1633473221.0,142.1822,40.1318,4.4,1633488931.0,146.7116,43.1453,4.5,1633507973.0,131.4859,31.1971,5.4,1633580322.0
1633614084.0,140.0705,35.5736,5.9,1633616683.0,142.3431,41.1879,4.5,1633625061.0,138.0549,31.7273,4.0,1633637510.0,140.1119,35.5528,4.4,1633646082.0,141.2794,29.5872,4.3,1633656308.0
1633720209.0,144.0846,22.3043,4.4,1633745776.0,140.4188,35.4836,4.3,1633747654.0,141.9719,42.3709,4.6,1633757519.0,142.2057,40.0765,5.0,1633774308.0,128.9402,27.1765,4.3,1633875375.0
1633879361.0,124.7191,25.2297,4.4,1634008740.0,142.8307,30.1428,4.9,1634009743.0,126.5228,25.4592,4.9,1634038236.0,142.5149,39.564,4.1,1634101114.0,138.6772,30.6616,4.1,1634107422.0
1634124169.0,146.4826,44.1617,4.3,1634144449.0,133.1539,32.4545,4.6,1634168638.0,140.6985,27.6908,4.6,1634245801.0,120.1714,44.2131,4.4,1634322836.0,128.3532,26.1858,4.5,1634349733.0
1634398253.0,140.8246,32.6091,4.5,1634398502.0,121.112,21.1746,4.8,1634433160.0,138.2234,28.677,4.7,1634437927.0,130.6225,29.4559,5.1,1634447760.0,130.7123,29.4142,4.5,1634452107.0
1634485771.0,142.1452,40.9682,4.8,1634507991.0,138.2018,28.6965,5.0,1634522483.0,141.5402,38.2759,4.6,1634536157.0,121.6638,24.1775,4.8,1634572114.0,143.0569,22.4406,4.3,1634626835.0
